"date"	"samples"	"reads"	"bases"
""	0	0	0
"2017-01-01"	2761	29776290193	591261473944
"2017-01-02"	41	529915312	105490365964
"2017-01-03"	5621	34988820534	2595476718526
"2017-01-04"	8184	129538505298	115579631536
"2017-01-05"	1338	25444626192	2855070421430
"2017-01-06"	1587	20402923604	2148043043894
"2017-01-07"	1296	8810128924	967215309807
"2017-01-08"	1188	10333883712	2690574899118
"2017-01-09"	1735	18539883054	1938264108268
"2017-01-10"	2406	23312786040	266998354296
"2017-01-11"	6841	77730371626	1078276854470
"2017-01-12"	773	205972294	59183279537
"2017-01-13"	3832	40327015240	4960140300744
"2017-01-14"	2765	23841515873	1604993744382
"2017-01-15"	1382	9975436404	1611207259938
"2017-01-16"	1583	8752878095	1396896276020
"2017-01-17"	1272	10331966325	1202496887108
"2017-01-18"	4589	55927250152	239076300523
"2017-01-19"	3372	79711138444	1989914137815
"2017-01-20"	2163	33470771075	634394053450
"2017-01-21"	5158	20694338409	2686457262007
"2017-01-22"	33	1013103355	76418638375
"2017-01-23"	0	0	0
"2017-01-24"	7426	66773665823	825190763594
"2017-01-25"	3251	15570691743	642226362850
"2017-01-26"	2156	15898499791	75335472309
"2017-01-27"	1168	23384740524	3886198315990
"2017-01-28"	2212	35029626549	393881773739
"2017-01-29"	748	18461681830	3946119244633
"2017-01-30"	1123	10202244260	2874141712063
"2017-01-31"	5101	44772904049	974936204709
"2017-02-01"	3352	29394669881	1301627031912
"2017-02-02"	3627	41515629747	1411561784147
"2017-02-03"	1096	9175395494	2138825973618
"2017-02-04"	3055	14714657773	198843708385
"2017-02-05"	3845	10460697277	1682616725777
"2017-02-06"	1175	16003617892	2007508541600
"2017-02-07"	11642	69792127432	1371271896345
"2017-02-08"	3426	42446736100	2245169815744
"2017-02-09"	284	1730318890	339546947772
"2017-02-10"	0	0	0
"2017-02-11"	0	0	0
"2017-02-12"	0	0	0
"2017-02-13"	0	0	0
"2017-02-14"	6286	30249131257	800387368729
"2017-02-15"	7198	70248662331	6335063349665
"2017-02-16"	5092	58190943561	4211254492533
"2017-02-17"	5505	23986612708	1971712934931
"2017-02-18"	3052	41008724495	3266140667675
"2017-02-19"	2289	8516003119	473995710684
"2017-02-20"	1612	4397993573	939978878645
"2017-02-21"	2838	27852877184	2650254871413
"2017-02-22"	4927	28514196452	1128963430233
"2017-02-23"	2325	17853674811	139919160259
"2017-02-24"	1914	36222796577	6075616729678
"2017-02-25"	1087	27377014632	4606937795467
"2017-02-26"	504	16371570243	1459281215814
"2017-02-27"	1879	11526568716	2129777135958
"2017-02-28"	7030	342942382789	1925668988460
"2017-03-01"	4389	56054092742	2234051947024
"2017-03-02"	8286	117846946448	2621337336805
"2017-03-03"	4412	18369132148	125750910901
"2017-03-04"	1507	7081683168	1085331490043
"2017-03-05"	1132	9128732457	1951502274076
"2017-03-06"	313	28918275597	4082910153505
"2017-03-07"	7921	13026697991	2202397050817
"2017-03-08"	1697	8419574690	1569513131180
"2017-03-09"	2209	35831914930	1017666260584
"2017-03-10"	5978	97493821916	4380819693863
"2017-03-11"	1762	4009751457	724126657640
"2017-03-12"	787	5887387005	1176158932436
"2017-03-13"	2880	22232865454	1368872806135
"2017-03-14"	3743	55243857659	2268867571016
"2017-03-15"	3097	30727899315	102206207246
"2017-03-16"	2770	19880680435	812290364509
"2017-03-17"	1837	17036596106	2294833262146
"2017-03-18"	1972	24274730796	5175042519385
"2017-03-19"	1801	7979445257	1145247851695
"2017-03-20"	1780	14391937119	2409390292320
"2017-03-21"	2209	26484005332	49402864289
"2017-03-22"	3505	21711086136	2007007522843
"2017-03-23"	993	8943942162	1358214401597
"2017-03-24"	8434	47830357628	534802831916
"2017-03-25"	3079	18447974889	92121969224
"2017-03-26"	282	1949183896	332896928990
"2017-03-27"	441	2767561969	546250816967
"2017-03-28"	797	4942498254	737073377104
"2017-03-29"	153	2503263388	240793802985
"2017-03-30"	5916	73948098311	1825580531125
"2017-03-31"	2506	43418845771	701588789149
"2017-04-01"	6049	39360033831	34123
"2017-04-02"	141	5262808611	1512393680503
"2017-04-03"	258	2312969913	370303341609
"2017-04-04"	7241	111744815119	664316800141
"2017-04-05"	3490	29769224493	4449071179097
"2017-04-06"	6474	57664836542	749525165766
"2017-04-07"	2311	62219023876	1116188132727
"2017-04-08"	1433	9641743162	2139628717088
"2017-04-09"	1040	3531828680	815623435244
"2017-04-10"	378	1366445589	318525555365
"2017-04-11"	1554	7990748502	1444267009695
"2017-04-12"	3053	61069640801	571374740006
"2017-04-13"	3669	35192295960	6322197167552
"2017-04-14"	3606	60332065141	930113067576
"2017-04-15"	83	523050510	60756551694
"2017-04-16"	2294	17880618087	223181004351
"2017-04-17"	3	450778	179990797
"2017-04-18"	396	9473284589	2301939890927
"2017-04-19"	6881	63667647368	2997105812560
"2017-04-20"	3358	50384598286	2421820382795
"2017-04-21"	2749	21480400054	1224213802999
"2017-04-22"	2002	21294750772	33085106756
"2017-04-23"	209	27634696	13350983844
"2017-04-24"	1427	17454789607	4377565030118
"2017-04-25"	4645	41269515152	723210291788
"2017-04-26"	541	3285444746	319356803343
"2017-04-27"	5078	29294598415	2134103813305
"2017-04-28"	780	16143229532	1683129147963
