"date"	"samples"	"reads"	"bases"
""	0	0	0
"2011-01-01"	23	342077	195757338
"2011-01-02"	0	0	0
"2011-01-03"	0	0	0
"2011-01-04"	0	0	0
"2011-01-05"	50	143812285	35848584818
"2011-01-06"	6	2968959	837289815
"2011-01-07"	0	0	0
"2011-01-08"	0	0	0
"2011-01-09"	0	0	0
"2011-01-10"	771	111024281	21889490629
"2011-01-11"	90	268268	56279905
"2011-01-12"	372	2389541	912478470
"2011-01-13"	0	0	0
"2011-01-14"	1	141603	34790979
"2011-01-15"	5	2721980	767288210
"2011-01-16"	0	0	0
"2011-01-17"	0	0	0
"2011-01-18"	0	0	0
"2011-01-19"	0	0	0
"2011-01-20"	1	411617	118793766
"2011-01-21"	0	0	0
"2011-01-22"	0	0	0
"2011-01-23"	2	993437	283957833
"2011-01-24"	0	0	0
"2011-01-25"	0	0	0
"2011-01-26"	518	5470599	2165281883
"2011-01-27"	340	2123778	858061707
"2011-01-28"	0	0	0
"2011-01-29"	0	0	0
"2011-01-30"	0	0	0
"2011-01-31"	0	0	0
"2011-02-01"	2	442789	113937011
"2011-02-02"	0	0	0
"2011-02-03"	0	0	0
"2011-02-04"	1	21752	12456702
"2011-02-05"	0	0	0
"2011-02-06"	0	0	0
"2011-02-07"	2	60303318	9166104338
"2011-02-08"	48	735201	223314554
"2011-02-09"	0	0	0
"2011-02-10"	0	0	0
"2011-02-11"	0	0	0
"2011-02-12"	0	0	0
"2011-02-13"	0	0	0
"2011-02-14"	0	0	0
"2011-02-15"	0	0	0
"2011-02-16"	195	921928857	159202893617
"2011-02-17"	0	0	0
"2011-02-18"	9	27515877	3763920605
"2011-02-19"	17	83365180	4303210164
"2011-02-20"	0	0	0
"2011-02-21"	0	0	0
"2011-02-22"	0	0	0
"2011-02-23"	0	0	0
"2011-02-24"	0	0	0
"2011-02-25"	1	1814	979431
"2011-02-26"	0	0	0
"2011-02-27"	0	0	0
"2011-02-28"	2	32100	18096855
"2011-03-01"	0	0	0
"2011-03-02"	3	1009403	541338850
"2011-03-03"	0	0	0
"2011-03-04"	0	0	0
"2011-03-05"	0	0	0
"2011-03-06"	0	0	0
"2011-03-07"	20	539739	267125819
"2011-03-08"	0	0	0
"2011-03-09"	0	0	0
"2011-03-10"	24	814704	337543919
"2011-03-11"	3	3188562	1669690879
"2011-03-12"	0	0	0
"2011-03-13"	0	0	0
"2011-03-14"	0	0	0
"2011-03-15"	0	0	0
"2011-03-16"	1	132757	62446334
"2011-03-17"	0	0	0
"2011-03-18"	0	0	0
"2011-03-19"	0	0	0
"2011-03-20"	0	0	0
"2011-03-21"	549	26752952	11856385716
"2011-03-22"	48	63288	27486683
"2011-03-23"	0	0	0
"2011-03-24"	0	0	0
"2011-03-25"	0	0	0
"2011-03-26"	0	0	0
"2011-03-27"	0	0	0
"2011-03-28"	163	71968261	7464009531
"2011-03-29"	19	3558549	1834192843
"2011-03-30"	1	152494	80696854
"2011-03-31"	7	6026550	3016709847
"2011-04-01"	0	0	0
"2011-04-02"	0	0	0
"2011-04-03"	27	1318116	335758725
"2011-04-04"	7	1522831	526948904
"2011-04-05"	24	380404	87539152
"2011-04-06"	17	57716784	4491835886
"2011-04-07"	14	807604	155058550
"2011-04-08"	2413	65203804	1690918483
"2011-04-09"	4	9074	4350830
"2011-04-10"	0	0	0
"2011-04-11"	0	0	0
"2011-04-12"	1	67007	12100595
"2011-04-13"	0	0	0
"2011-04-14"	2	68376	16296485
"2011-04-15"	0	0	0
"2011-04-16"	0	0	0
"2011-04-17"	0	0	0
"2011-04-18"	0	0	0
"2011-04-19"	1	496410625	100274946251
"2011-04-20"	54	131621	59053274
"2011-04-21"	0	0	0
"2011-04-22"	0	0	0
"2011-04-23"	0	0	0
"2011-04-24"	0	0	0
"2011-04-25"	0	0	0
"2011-04-26"	0	0	0
