"date"	"samples"	"reads"	"bases"
""	0	0	0
"2014-01-01"	229	1209626871	111039178977
"2014-01-02"	0	0	0
"2014-01-03"	1	151011	35008398
"2014-01-04"	60	612408	275897431
"2014-01-05"	24	186005104	6360142867
"2014-01-06"	22	783975	410238261
"2014-01-07"	2742	30892389582	735892037266
"2014-01-08"	114	15578495	2893338524
"2014-01-09"	8	430677158	68228817081
"2014-01-10"	893	6278947535	923494823428
"2014-01-11"	30	977546813	148042840460
"2014-01-12"	0	0	0
"2014-01-13"	35	525580067	83445836245
"2014-01-14"	5416	116526035519	6740555207322
"2014-01-15"	30	710332482	140423522245
"2014-01-16"	0	0	0
"2014-01-17"	2324	45515213948	684845257132
"2014-01-18"	0	0	0
"2014-01-19"	12	613460185	85884425912
"2014-01-20"	356	17548779	2523582966
"2014-01-21"	7034	41665470161	1254183336305
"2014-01-22"	939	3971682265	610476002771
"2014-01-23"	117	6308679179	1137382163068
"2014-01-24"	489	2110585790	344883348816
"2014-01-25"	0	0	0
"2014-01-26"	0	0	0
"2014-01-27"	25	896547875	61960912768
"2014-01-28"	7052	18932927505	3438776
"2014-01-29"	151	16696516372	3325274758736
"2014-01-30"	31	558395726	28511848051
"2014-01-31"	1347	14862220589	1319232370416
"2014-02-01"	1037	2015601628	387433034649
"2014-02-02"	32	592611402	35397462419
"2014-02-03"	117	155316679	28620837446
"2014-02-04"	2084	8317106141	26502890284
"2014-02-05"	1721	11986566692	2016532521186
"2014-02-06"	5	160561910	8028095505
"2014-02-07"	58	3136346772	340032313103
"2014-02-08"	0	0	0
"2014-02-09"	51	470536224	95124038419
"2014-02-10"	1219	8484062699	893603893970
"2014-02-11"	23	116246715	24364850366
"2014-02-12"	1063	13555960418	1943916251364
"2014-02-13"	5848	61462379391	2431651199488
"2014-02-14"	88	1443730326	107929187314
"2014-02-15"	24	381315127	20395670742
"2014-02-16"	6	211559570	41915164112
"2014-02-17"	6	89164345	18187444267
"2014-02-18"	2638	20442635363	844436144078
"2014-02-19"	15	39671543	6603177067
"2014-02-20"	11	18472841	9273366193
"2014-02-21"	31	462492273	102166360808
"2014-02-22"	9	161860831	31401001223
"2014-02-23"	6	10257475	4091397268
"2014-02-24"	3533	7314428192	7114086825
"2014-02-25"	10407	30711829558	495652714605
"2014-02-26"	3078	18077071596	839227196298
"2014-02-27"	830	6033562894	880007019450
"2014-02-28"	0	0	0
"2014-03-01"	0	0	0
"2014-03-02"	1950	25025143541	1905420094522
"2014-03-03"	1787	16681451949	2867360145599
"2014-03-04"	1897	15820018386	1558430210912
"2014-03-05"	325	150238353	35725956332
"2014-03-06"	112	588674725	94916383507
"2014-03-07"	41	1442301835	128416378792
"2014-03-08"	26	383836533	53360513274
"2014-03-09"	641	9435824408	1347901432536
"2014-03-10"	1732	5428569272	884739035380
"2014-03-11"	636	6688730490	863828216378
"2014-03-12"	67	186996970	7169242866
"2014-03-13"	1096	13900597376	1984927640505
"2014-03-14"	2909	47624464641	1123133187774
"2014-03-15"	5	181291070	34807885445
"2014-03-16"	0	0	0
"2014-03-17"	3062	18551902446	2685674658893
"2014-03-18"	3916	21454011731	1211434743208
"2014-03-19"	0	0	0
"2014-03-20"	929	28624646443	3155628290183
"2014-03-21"	618	6958562347	905394482867
"2014-03-22"	24	252040880	10422055664
"2014-03-23"	114	151358827	18432318404
"2014-03-24"	1233	25421683987	4505374799165
"2014-03-25"	859	5345420114	482521187779
"2014-03-26"	1948	13889236999	2737039210103
"2014-03-27"	1128	8911069021	1338076876705
"2014-03-28"	693	16314558166	2743624594967
"2014-03-29"	1	117268172	23688170745
"2014-03-30"	64	785691287	53076385924
"2014-03-31"	1222	9228192608	1284811579848
"2014-04-01"	415	3568740524	439610166095
"2014-04-02"	987	2398096712	365851828476
"2014-04-03"	90	7319537834	1139613390903
"2014-04-04"	4	54732783	5473278304
"2014-04-05"	16	160053809	32330869434
"2014-04-06"	10	85237036	3843945292
"2014-04-07"	1688	6327275951	814437403796
"2014-04-08"	0	0	0
"2014-04-09"	11	349135102	61314297721
"2014-04-10"	112	3269379792	528976469553
"2014-04-11"	141	339351152	39654631383
"2014-04-12"	3	123582568	24151417817
"2014-04-13"	2	102940893	20771667498
"2014-04-14"	3721	79046886617	5133941201024
"2014-04-15"	9389	202273189253	3362690722892
"2014-04-16"	5352	102846044859	1572481772921
"2014-04-17"	16	452227631	16280194732
"2014-04-18"	0	0	0
"2014-04-19"	1	4349930	735408259
"2014-04-20"	0	0	0
"2014-04-21"	59	73491419	4384742865
"2014-04-22"	2861	22441071697	726504986961
"2014-04-23"	9	467345627	33630326218
"2014-04-24"	392	1764903337	295098600058
"2014-04-25"	576	10886683758	1385896402221
"2014-04-26"	0	0	0
"2014-04-27"	7	42475442	2012095565
"2014-04-28"	19652	137929894900	1608540145761
"2014-04-29"	2413	55470935509	3523510257039
"2014-04-30"	7013	76162962741	2927878271997
"2014-05-01"	202	2960120590	409059847715
"2014-05-02"	591	8932192755	1063577755921
"2014-05-03"	0	0	0
"2014-05-04"	120	1534825	761822132
"2014-05-05"	72	4393697	1326896566
"2014-05-06"	3519	28735963704	557781507612
"2014-05-07"	41	18183504	5449774438
"2014-05-08"	82	1219343686	182031367780
"2014-05-09"	467	8460206421	1147196441004
"2014-05-10"	283	2643729443	294458455366
"2014-05-11"	428	1061219152	199692778080
"2014-05-12"	1631	22542144698	2198012773288
"2014-05-13"	4	133698100	13369810004
"2014-05-14"	1713	3051499573	583402610903
"2014-05-15"	1984	15117879703	1981371750765
"2014-05-16"	3780	85289860920	9160074615322
"2014-05-17"	100	1901832667	166814294636
"2014-05-18"	0	0	0
"2014-05-19"	1498	13606209297	1374574105162
"2014-05-20"	151	175598911	33842702071
"2014-05-21"	0	0	0
"2014-05-22"	8	87750928	7584809918
"2014-05-23"	644	15380590312	2358622439003
"2014-05-24"	8	53282115	2237848838
"2014-05-25"	174	132423704	26498449738
"2014-05-26"	52	626824585	67564601153
"2014-05-27"	1618	23343386791	2580565710564
"2014-05-28"	48	181652	49846789
"2014-05-29"	18	415523183	26450586558
"2014-05-30"	37	187047695	37155043402
"2014-05-31"	444	59599892	7634223090
"2014-06-01"	484	3612691718	638833796127
"2014-06-02"	2813	60237188	13211219783
"2014-06-03"	35	477992609	23589128628
"2014-06-04"	536	4364075948	445768605644
"2014-06-05"	8	261187836	28383924219
"2014-06-06"	952	724553973	130835865544
"2014-06-07"	503	116194705	18992258313
"2014-06-08"	1	118902448	29040454958
"2014-06-09"	429	4250416704	431374365583
"2014-06-10"	383	1574357103	103808502439
"2014-06-11"	66	1834608393	104485118394
"2014-06-12"	115	5726591914	918147541408
"2014-06-13"	330	5884036671	1161356679050
"2014-06-14"	949	1718801402	253039330660
"2014-06-15"	22	812523721	167698411556
"2014-06-16"	163	3372150745	523799365335
"2014-06-17"	12080	241916033769	130292611153
"2014-06-18"	29	161707485	31143399946
"2014-06-19"	50	86615368	7856542208
"2014-06-20"	368	1115134963	264298702783
"2014-06-21"	0	0	0
"2014-06-22"	71	399283416	33789871778
"2014-06-23"	82	5748652159	1186471128563
"2014-06-24"	1833	15279578072	1490718006683
"2014-06-25"	2968	9809462769	43718368047
"2014-06-26"	2694	8554340515	716230847136
"2014-06-27"	997	3054497210	197382604578
"2014-06-28"	0	0	0
"2014-06-29"	31	80043552	2083528636
"2014-06-30"	375	5690998525	939458760399
"2014-07-01"	84	2009187697	295621200166
"2014-07-02"	1399	7967154593	1064756219546
"2014-07-03"	34	977935979	78234878354
"2014-07-04"	18	214830467	46564490566
"2014-07-05"	295	33362160	3335674508
"2014-07-06"	0	0	0
"2014-07-07"	22	229934136	42114722825
"2014-07-08"	1925	19421467345	1992100932689
"2014-07-09"	194	268143478	50441266374
"2014-07-10"	1182	6876386836	675685773638
"2014-07-11"	48	3504992	544136510
"2014-07-12"	1	12448	6880666
"2014-07-13"	0	0	0
"2014-07-14"	26	313336040	46625136956
"2014-07-15"	987	3601409728	905056880217
"2014-07-16"	1693	24909844976	2405233682993
"2014-07-17"	1810	231679744	33145307920
"2014-07-18"	197	3278041090	389293228956
"2014-07-19"	0	0	0
"2014-07-20"	0	0	0
"2014-07-21"	15195	75338908183	1516200598093
"2014-07-22"	28	214789717	29458508565
"2014-07-23"	1427	8432803259	837058263107
"2014-07-24"	7395	34204191532	482615657771
"2014-07-25"	240	28145769120	5607291097458
"2014-07-26"	5	4339354	2157153438
"2014-07-27"	1	205744465	41148893001
"2014-07-28"	7312	22082438612	557202209804
"2014-07-29"	4	265702073	40859970616
"2014-07-30"	19	276191543	50082323258
"2014-07-31"	5148	50080319000	1762281632867
"2014-08-01"	71	2141269597	107358347335
"2014-08-02"	2	114225539	23034055290
"2014-08-03"	0	0	0
"2014-08-04"	1509	6893055109	690523504787
"2014-08-05"	94	6064975	1632073409
"2014-08-06"	117	690353682	68183582874
"2014-08-07"	10	60945	25914222
"2014-08-08"	670	6572522433	582345417479
"2014-08-09"	86	381208807	46056930134
"2014-08-10"	71	357397	133189901
"2014-08-11"	10334	114676062231	146059523119
"2014-08-12"	14777	150612300044	262817659938
"2014-08-13"	318	24823556	2914732536
"2014-08-14"	0	0	0
"2014-08-15"	552	26075506449	4359005298542
"2014-08-16"	28	229177226	35758473715
"2014-08-17"	0	0	0
"2014-08-18"	8	285783411	21719539244
"2014-08-19"	11	1086534932	219480056275
"2014-08-20"	18556	331693278969	5528106431899
"2014-08-21"	24	3500757946	706918739914
"2014-08-22"	64	183775708	32351300772
"2014-08-23"	0	0	0
"2014-08-24"	72	1338975194	138929978891
"2014-08-25"	190	4409921364	499593020082
"2014-08-26"	90	8611952	3762555938
"2014-08-27"	4687	16499851166	351074465987
"2014-08-28"	132	9843871	4729480087
"2014-08-29"	222	1282176695	175729669911
"2014-08-30"	57	62127364	6418542682
"2014-08-31"	144	1598112338	130645000762
"2014-09-01"	193	162078093	22232783654
"2014-09-02"	2208	14320393515	92438859878
"2014-09-03"	1667	844169518	84779787668
"2014-09-04"	491	1025215946	185116991919
"2014-09-05"	219	11528050659	2274357786871
"2014-09-06"	0	0	0
"2014-09-07"	1	145043	73145961
"2014-09-08"	107	3161706925	480786153252
"2014-09-09"	936	10153123051	1170188932346
"2014-09-10"	18	1399799067	281830821316
"2014-09-11"	134	188358232	18914512206
"2014-09-12"	246	24202735092	4778466381174
"2014-09-13"	2	60385890	6521676122
"2014-09-14"	6	194954997	38965201325
"2014-09-15"	264	22781123562	4444212615458
"2014-09-16"	1877	7643164689	758240759602
"2014-09-17"	412	3199167831	432742363356
"2014-09-18"	291	3200276879	424701660066
"2014-09-19"	36	431067056	22538441949
"2014-09-20"	26	785513785	45752511817
"2014-09-21"	3	2333987	726372454
"2014-09-22"	338	466842897	80718249354
"2014-09-23"	1215	6288433168	552372143078
"2014-09-24"	423	11730833299	1255996807429
"2014-09-25"	5787	67731441838	2118311434398
"2014-09-26"	28	303752864	38495205320
"2014-09-27"	110	1069694738	42268039112
"2014-09-28"	0	0	0
"2014-09-29"	974	24509506539	4669903716311
"2014-09-30"	25737	195241495119	1250738272645
"2014-10-01"	1785	7190930331	723295664067
"2014-10-02"	42	955136362	35004061290
"2014-10-03"	3209	2999177178	135212550359
"2014-10-04"	0	0	0
"2014-10-05"	12	345973	134236267
"2014-10-06"	906	4535591439	442542581999
"2014-10-07"	677	2065534444	438324033296
"2014-10-08"	1582	2614468311	460958056225
"2014-10-09"	107	3678615577	748592937515
"2014-10-10"	79	1781571776	269697384971
"2014-10-11"	14	57600641	10789392214
"2014-10-12"	15	49790010	4844395059
"2014-10-13"	90	924735468	193601547966
"2014-10-14"	623	1707029406	345598922378
"2014-10-15"	1415	9690540017	938589362005
"2014-10-16"	21156	122871804593	5067249520060
"2014-10-17"	1578	918167507	142876689512
"2014-10-18"	13	806396	484410047
"2014-10-19"	0	0	0
"2014-10-20"	148	127998902	24328024762
"2014-10-21"	5836	72428680750	1918738821312
"2014-10-22"	5770	101073629577	7831367054551
"2014-10-23"	38	2392045762	364256433302
"2014-10-24"	44	1168502812	161477209182
"2014-10-25"	71	2436072853	135776470248
"2014-10-26"	10	190551847	9718144207
"2014-10-27"	297	918669678	152499166845
"2014-10-28"	3112	25207695029	1561036899572
"2014-10-29"	856	9731615811	953750104719
"2014-10-30"	290	6238587949	723503918646
"2014-10-31"	3886	3593298974	184881053047
"2014-11-01"	1598	8471742501	1133530309799
"2014-11-02"	9	2121074	318161109
"2014-11-03"	1	124115992	7201691260
"2014-11-04"	1943	14809711204	2067653654816
"2014-11-05"	42	4912911884	693167197259
"2014-11-06"	213	13119286700	1958993535096
"2014-11-07"	2	127675537	6383776852
"2014-11-08"	16	2656492	338650205
"2014-11-09"	0	0	0
"2014-11-10"	2886	84254433977	3888756730500
"2014-11-11"	7905	498691508480	31621319045185
"2014-11-12"	26	967976471	194199233893
"2014-11-13"	3934	47389927446	3572674935768
"2014-11-14"	127	5138651652	391127669157
"2014-11-15"	128	516495705	36686396095
"2014-11-16"	4	40637	21136884
"2014-11-17"	119	452230877	67432556332
"2014-11-18"	565	17776118938	1557478728559
"2014-11-19"	227	18917520886	974993244929
"2014-11-20"	299	16170742065	2677496516574
"2014-11-21"	21	443952081	50489093006
"2014-11-22"	184	1907505958	385097170939
"2014-11-23"	34	2217237121	581703195752
"2014-11-24"	447	9838502580	647549909846
"2014-11-25"	109	1289778284	252025397814
"2014-11-26"	0	0	0
"2014-11-27"	1482	43781950655	4888042694197
"2014-11-28"	109	1737104388	316575366292
"2014-11-29"	148	391996083	22591630996
"2014-11-30"	101	1403555504	181108651044
"2014-12-01"	3536	14603193536	713040550500
"2014-12-02"	1093	3962695437	730717092532
"2014-12-03"	44	3582594010	746074589737
"2014-12-04"	1618	31933488880	4185577481495
"2014-12-05"	487	9743172479	1170183274801
"2014-12-06"	0	0	0
"2014-12-07"	8	302377979	42334933091
"2014-12-08"	87	2341343527	273842956267
"2014-12-09"	2882	13668345746	689824419562
"2014-12-10"	96	3282771666	656761682499
"2014-12-11"	384	8878702110	1661085002479
"2014-12-12"	336	4796459352	849534726811
"2014-12-13"	597	6183248500	650990875711
"2014-12-14"	245	1079721400	89327968297
"2014-12-15"	17	34106284	10095581691
"2014-12-16"	2895	30729017768	656114432845
"2014-12-17"	3330	17421630173	453746331084
"2014-12-18"	50	185244552	11675293510
"2014-12-19"	713	9114914316	1075425154460
"2014-12-20"	47	73467954	14712092169
"2014-12-21"	229	1766139041	316713273125
"2014-12-22"	175	548383992	113374493978
"2014-12-23"	2036	13447804933	10298973836
"2014-12-24"	1	148958784	7490576952
"2014-12-25"	80	872915252	154003656134
"2014-12-26"	0	0	0
"2014-12-27"	0	0	0
"2014-12-28"	65	103479	47520780
"2014-12-29"	46	1972545683	595708796312
"2014-12-30"	313	2237518749	422388709196
"2014-12-31"	529	5186305530	769323763010
