"date"	"samples"	"reads"	"bases"
""	0	0	0
"2017-01-01"	1015	379145049	139469809036
"2017-01-02"	36	121382906	23783884759
"2017-01-03"	1431	597511471	172126535578
"2017-01-04"	2103	172081471	21306244427
"2017-01-05"	83	164883980	49046151385
"2017-01-06"	268	60149111	24339209264
"2017-01-07"	149	53555951	15702684559
"2017-01-08"	411	34453906	9242946485
"2017-01-09"	571	33073816	10571296551
"2017-01-10"	372	47052625	24694896522
"2017-01-11"	555	482714368	76011432326
"2017-01-12"	0	0	0
"2017-01-13"	828	993586166	302958292141
"2017-01-14"	511	63249647	24627267506
"2017-01-15"	1012	5082383495	572749685963
"2017-01-16"	769	2773210878	309925041202
"2017-01-17"	612	3764687300	373210869735
"2017-01-18"	371	38357386	13861383874
"2017-01-19"	655	1686053576	488217840331
"2017-01-20"	193	2084431077	634129561200
"2017-01-21"	407	4970838823	1027000895476
"2017-01-22"	0	0	0
"2017-01-23"	0	0	0
"2017-01-24"	1614	914383330	249448067075
"2017-01-25"	1279	1996497515	435487374721
"2017-01-26"	378	1080238939	448287444793
"2017-01-27"	353	5669941159	1855616515242
"2017-01-28"	579	5254561209	1587319036408
"2017-01-29"	262	5819295010	1752412259805
"2017-01-30"	561	9185290436	2655962927460
"2017-01-31"	809	2524230557	784842919428
"2017-02-01"	752	254793232	79582244637
"2017-02-02"	283	1057594223	172250992278
"2017-02-03"	458	119207774	31183172304
"2017-02-04"	930	1380731541	328870584628
"2017-02-05"	827	611452382	178557880282
"2017-02-06"	213	13617651	5448194614
"2017-02-07"	1108	1168412392	384427837914
"2017-02-08"	447	903166549	274706396159
"2017-02-09"	0	0	0
"2017-02-10"	0	0	0
"2017-02-11"	0	0	0
"2017-02-12"	0	0	0
"2017-02-13"	0	0	0
"2017-02-14"	2522	527385200	9085804771
"2017-02-15"	2257	19400360060	2177083926397
"2017-02-16"	1474	3561249048	987563055610
"2017-02-17"	2894	7392651521	2024956602018
"2017-02-18"	1136	2084597136	625164292366
