"date"	"samples"	"reads"	"bases"
""	0	0	0
"2016-01-01"	764	2582155124	391708012189
"2016-01-02"	420	775090177	276653887147
"2016-01-03"	9	458219123	92219264497
"2016-01-04"	1403	232322663	28548015343
"2016-01-05"	239	29045153	16663586427
"2016-01-06"	345	129162236	35647517408
"2016-01-07"	121	7753442	3829904384
"2016-01-08"	665	56291998	11233824952
"2016-01-09"	231	40929236	17257307189
"2016-01-10"	176	714835819	88917932287
"2016-01-11"	774	9486860893	1761509317711
"2016-01-12"	57	604940228	124794165682
"2016-01-13"	359	262301113	66197489934
"2016-01-14"	363	2367552446	715410416194
"2016-01-15"	206	268644155	44418673968
"2016-01-16"	221	13785414	7601123085
"2016-01-17"	789	18534323	7623524525
"2016-01-18"	250	22341417	11739894841
"2016-01-19"	159	34023919	11057213499
"2016-01-20"	30	217290	72942970
"2016-01-21"	1077	126825099	36961638799
"2016-01-22"	132	50363919	18350050094
"2016-01-23"	22	335862780	80372497878
"2016-01-24"	58	193404985	42431652889
"2016-01-25"	0	0	0
"2016-01-26"	172	61405859	13026854395
"2016-01-27"	965	109892832	29106181910
"2016-01-28"	160	3437384	1026870696
"2016-01-29"	886	62216707	23181264225
"2016-01-30"	246	444058239	69991532275
"2016-01-31"	74	13979693	3564786034
"2016-02-01"	50	45098846	9488116034
"2016-02-02"	187	169232566	35095575143
"2016-02-03"	399	35350380	10972068842
"2016-02-04"	783	940408224	209550094575
"2016-02-05"	598	116124468	12437357207
"2016-02-06"	520	521193146	146162640405
"2016-02-07"	156	72114690	18054088613
"2016-02-08"	1	4127823	1246602547
"2016-02-09"	345	17031821	9721584369
"2016-02-10"	666	81672763	24349873556
"2016-02-11"	198	60341327	18307910805
"2016-02-12"	166	316790138	104706434270
"2016-02-13"	585	332666137	166255356428
"2016-02-14"	574	96540488	36283038465
"2016-02-15"	200	43124137	23424017975
"2016-02-16"	291	213514983	55640401262
"2016-02-17"	682	102252595	43962783800
