"date"	"samples"	"reads"	"bases"
""	0	0	0
"2018-01-01"	8749	59772791869	528788410689
"2018-01-02"	6339	84817362967	418394405480
"2018-01-03"	12964	127127124827	1762449305202
"2018-01-04"	3180	18515832228	1048011996669
"2018-01-05"	1743	12153656082	1923752440226
"2018-01-06"	79	978664413	276784665123
"2018-01-07"	5514	30356954930	1276324716680
"2018-01-08"	689	19091373239	4984291468014
"2018-01-09"	4853	107392879063	752817438357
"2018-01-10"	1602	5103315914	1044728479655
"2018-01-11"	9046	75069104931	356386191428
"2018-01-12"	4607	28193048219	48554857499
"2018-01-13"	2797	37026711049	2292567424987
"2018-01-14"	903	9386917498	2883098811295
"2018-01-15"	1804	13793532995	3142405811696
"2018-01-16"	2420	29612353657	786938744786
"2018-01-17"	1540	15482382859	3460346174501
"2018-01-18"	1496	23644655125	5257698647356
"2018-01-19"	3154	30792171580	718301202167
"2018-01-20"	2009	37795317577	3449224568
"2018-01-21"	519	2328507960	476177642371
"2018-01-22"	433	5515371705	1166586577254
"2018-01-23"	1755	7874120679	1637817763262
"2018-01-24"	5392	89206631614	1929657064994
"2018-01-25"	9159	34883440471	527676973850
"2018-01-26"	5350	59597903498	1363853068736
"2018-01-27"	3638	40378197701	4450180839765
"2018-01-28"	676	3087376076	806039359856
"2018-01-29"	475	14527355783	1188343077439
"2018-01-30"	5545	52398437363	2285993391983
"2018-01-31"	3516	45827145424	768692355476
"2018-02-01"	7397	194853448987	252547809861
"2018-02-02"	826	28911290255	3877854684469
"2018-02-03"	8860	93876380065	778385161129
"2018-02-04"	1065	9971040530	2464635765996
"2018-02-05"	387	7571558740	1242147647814
"2018-02-06"	7414	39688473640	1933573232807
"2018-02-07"	2188	18996452240	108764072847
"2018-02-08"	3252	24570556148	799871890879
"2018-02-09"	159	371799733	171819798739
"2018-02-10"	19566	84858915645	2153377465253
"2018-02-11"	776	14980500409	2848905999736
"2018-02-12"	2427	41567228956	804842769314
"2018-02-13"	3884	58378342381	6790720674292
"2018-02-14"	4328	46390735388	419980587860
"2018-02-15"	3479	57790033334	2719750817756
"2018-02-16"	2111	4393110860	30609601389
"2018-02-17"	12846	45576924235	74521222786
"2018-02-18"	2042	2579451599	2042
"2018-02-19"	1672	4056027513	485317450908
"2018-02-20"	2893	22811387988	542541237492
"2018-02-21"	13117	50150000452	525631789337
"2018-02-22"	6872	28897131690	537742009769
"2018-02-23"	3605	41329981432	3291746308140
"2018-02-24"	4614	26535205715	489506413154
"2018-02-25"	554	1186981289	131877380624
"2018-02-26"	2255	34025523992	955651829336
"2018-02-27"	7777	63005825276	4014752159613
"2018-02-28"	3684	17377702359	1953383637778
"2018-03-01"	810	6727056120	1484069709277
"2018-03-02"	722	4431866608	851655075530
"2018-03-03"	33626	205628113253	1639870929392
"2018-03-04"	2399	29217314472	84435208044
"2018-03-05"	2865	75773247998	4073422532879
"2018-03-06"	4880	71853623689	308147891670
"2018-03-07"	5124	26159734782	20170699084
"2018-03-08"	5264	39326302924	681100598248
"2018-03-09"	0	0	0
"2018-03-10"	6574	54251052008	560861623935
"2018-03-11"	1028	18802093196	5385837936669
"2018-03-12"	1258	1845647444	339611023180
"2018-03-13"	4793	6743729133	4793
"2018-03-14"	2265	16439019380	2265
"2018-03-15"	5837	9875466532	5837
"2018-03-16"	5392	341054425	5392
"2018-03-17"	0	0	0
"2018-03-18"	0	0	0
"2018-03-19"	0	0	0
"2018-03-20"	0	0	0
