"date"	"samples"	"reads"	"bases"
""	0	0	0
"2014-01-01"	8	485817	212615172
"2014-01-02"	0	0	0
"2014-01-03"	0	0	0
"2014-01-04"	59	461397	240889033
"2014-01-05"	0	0	0
"2014-01-06"	1	677220	348066734
"2014-01-07"	0	0	0
"2014-01-08"	108	2125431	875378918
"2014-01-09"	0	0	0
"2014-01-10"	0	0	0
"2014-01-11"	0	0	0
"2014-01-12"	0	0	0
"2014-01-13"	11	8390459	4197136694
"2014-01-14"	651	1667638181	352394064092
"2014-01-15"	0	0	0
"2014-01-16"	0	0	0
"2014-01-17"	574	166842050	83119380552
"2014-01-18"	0	0	0
"2014-01-19"	0	0	0
"2014-01-20"	342	2105960	762546378
"2014-01-21"	833	122330811	33635525268
"2014-01-22"	71	1474830	752246920
"2014-01-23"	6	513460	153555134
"2014-01-24"	206	54537316	5989776098
"2014-01-25"	0	0	0
"2014-01-26"	0	0	0
"2014-01-27"	0	0	0
"2014-01-28"	182	9684703	2857282174
"2014-01-29"	0	0	0
"2014-01-30"	0	0	0
"2014-01-31"	42	37312568	4221387142
"2014-02-01"	2	0	2
"2014-02-02"	18	174092	82535808
"2014-02-03"	40	522	192737
"2014-02-04"	0	0	0
"2014-02-05"	234	173275825	33931724632
"2014-02-06"	0	0	0
"2014-02-07"	7	133443879	9804251646
"2014-02-08"	0	0	0
"2014-02-09"	32	158391	74114039
"2014-02-10"	0	0	0
"2014-02-11"	0	0	0
"2014-02-12"	94	349652	165924877
"2014-02-13"	748	110684985	20570401069
"2014-02-14"	46	511868	192738340
"2014-02-15"	8	152432	81708826
"2014-02-16"	0	0	0
"2014-02-17"	0	0	0
"2014-02-18"	0	0	0
"2014-02-19"	0	0	0
"2014-02-20"	0	0	0
"2014-02-21"	0	0	0
"2014-02-22"	0	0	0
"2014-02-23"	0	0	0
"2014-02-24"	20	345437	89611050
"2014-02-25"	50	65968745	19819086848
"2014-02-26"	50	232233343	46589412585
"2014-02-27"	76	78325598	22482320309
"2014-02-28"	0	0	0
"2014-03-01"	0	0	0
"2014-03-02"	184	72948812	14872275632
"2014-03-03"	480	669159942	115573744233
"2014-03-04"	0	0	0
"2014-03-05"	270	33043000	3475069236
"2014-03-06"	0	0	0
"2014-03-07"	0	0	0
"2014-03-08"	0	0	0
"2014-03-09"	97	700600943	109474461192
"2014-03-10"	151	280431257	56873376053
"2014-03-11"	71	631577837	145097357504
"2014-03-12"	0	0	0
"2014-03-13"	290	86853217	18805525722
"2014-03-14"	533	1480393662	204008483716
"2014-03-15"	0	0	0
"2014-03-16"	0	0	0
"2014-03-17"	2337	36418100	10042969008
"2014-03-18"	690	1612916975	333089296620
"2014-03-19"	0	0	0
"2014-03-20"	228	1612575481	328567091633
"2014-03-21"	216	256835346	63560541587
"2014-03-22"	0	0	0
"2014-03-23"	0	0	0
"2014-03-24"	152	214990733	45940015697
"2014-03-25"	13	240646	103832845
"2014-03-26"	94	123941573	19363541376
"2014-03-27"	111	26150454	8005633873
"2014-03-28"	116	318954161	65704822047
"2014-03-29"	0	0	0
"2014-03-30"	51	5178412	2596051962
"2014-03-31"	189	294776330	54517739139
"2014-04-01"	48	231425845	69474475344
"2014-04-02"	362	379184938	51938935467
"2014-04-03"	0	0	0
"2014-04-04"	0	0	0
"2014-04-05"	0	0	0
"2014-04-06"	0	0	0
"2014-04-07"	0	0	0
"2014-04-08"	0	0	0
"2014-04-09"	0	0	0
"2014-04-10"	61	213048	90543485
"2014-04-11"	125	3514164	1873130431
"2014-04-12"	0	0	0
"2014-04-13"	2	102940893	20771667498
"2014-04-14"	523	3696389555	1009015398366
"2014-04-15"	1098	2352866717	403282476785
"2014-04-16"	169	173453209	34541246491
"2014-04-17"	0	0	0
"2014-04-18"	0	0	0
"2014-04-19"	1	4349930	735408259
"2014-04-20"	0	0	0
"2014-04-21"	0	0	0
"2014-04-22"	0	0	0
"2014-04-23"	0	0	0
"2014-04-24"	31	406	154477
"2014-04-25"	0	0	0
"2014-04-26"	0	0	0
"2014-04-27"	1	39	20219
"2014-04-28"	7757	1142714509	210945011488
"2014-04-29"	207	2510329957	301382441708
"2014-04-30"	539	2046263912	401828747669
"2014-05-01"	72	5205580	4180339985
"2014-05-02"	114	1399629	765344325
"2014-05-03"	0	0	0
"2014-05-04"	120	1534825	761822132
"2014-05-05"	72	4393697	1326896566
"2014-05-06"	0	0	0
"2014-05-07"	41	18183504	5449774438
"2014-05-08"	3	1339597	678141164
"2014-05-09"	87	71355155	3975622001
"2014-05-10"	85	675081	356893094
"2014-05-11"	127	62155310	18719061705
"2014-05-12"	10	32124	18274967
"2014-05-13"	0	0	0
"2014-05-14"	0	0	0
"2014-05-15"	1820	11946416633	1668700252466
"2014-05-16"	211	15799398	4485114942
"2014-05-17"	0	0	0
"2014-05-18"	0	0	0
"2014-05-19"	10	104982	56854952
"2014-05-20"	110	383120	193386394
"2014-05-21"	0	0	0
"2014-05-22"	0	0	0
"2014-05-23"	7	48455885	10212415136
"2014-05-24"	6	0	6
"2014-05-25"	0	0	0
"2014-05-26"	0	0	0
"2014-05-27"	0	0	0
"2014-05-28"	0	0	0
"2014-05-29"	0	0	0
"2014-05-30"	0	0	0
"2014-05-31"	320	2496664	1276850860
"2014-06-01"	1	14774	7863525
"2014-06-02"	2813	60237188	13211219783
"2014-06-03"	0	0	0
"2014-06-04"	0	0	0
"2014-06-05"	1	20097779	5566061012
